"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-11-30,"Omaha, NE","NE",60,1149.07,-0.006,-0.0152,-0.0288,275662
2019-11-30,"New Haven, CT","CT",61,1344.36,0.0041,0.0143,0.0018,377151
2019-11-30,"Bakersfield, CA","CA",62,1207.96,0.0012,0.0253,0.0418,239021
2019-11-30,"Knoxville, TN","TN",63,1185.48,0.0107,0.0277,0.0546,321961
2019-11-30,"Greenville, SC","SC",64,1148.36,0.0086,0.0325,0.049,252132
2019-11-30,"Ventura, CA","CA",65,2620.75,0.003,0.0082,0.0245,239683
2019-11-30,"Allentown, PA","PA",66,1327.14,0.0035,0.0213,0.025,313509
2019-11-30,"El Paso, TX","TX",67,946.12,0.0036,0.0106,-0.0139,244789
2019-11-30,"Baton Rouge, LA","LA",68,1181.71,-0.0085,-0.0119,-0.0282,90367
2019-11-30,"Dayton, OH","OH",69,960.72,-0.0037,0.0046,0.0562,294105
2019-11-30,"McAllen, TX","TX",70,832.78,0.002,0.0055,-0.018,203596
2019-11-30,"Columbia, SC","SC",71,1070.42,0.0014,0.0072,0.0209,257599
2019-11-30,"Greensboro, NC","NC",72,904.86,0.013,0.0266,0.0331,260768
2019-11-30,"Akron, OH","OH",73,1002.87,-0.0076,0.0051,0.0405,260602
2019-11-30,"North Port-Sarasota-Bradenton, FL","FL",74,1773.31,0.0062,0.0046,0.0084,416492
2019-11-30,"Little Rock, AR","AR",75,851.89,0.0078,0.0154,0.014,246280
2019-11-30,"Stockton, CA","CA",76,1663.99,0.0025,0.029,0.0506,204322
2019-11-30,"Charleston, SC","SC",77,1611.08,0.0016,0.0012,0.014,274045
2019-11-30,"Syracuse, NY","NY",78,1075.65,-0.0165,-0.0488,-0.0289,226458
2019-11-30,"Colorado Springs, CO","CO",79,1472.65,0.0039,0.0178,0.0304,275810
2019-11-30,"Winston-Salem, NC","NC",80,990.53,-0.0021,0.022,0.044,224225
2019-11-30,"Wichita, KS","KS",81,856.58,0.0016,0.0231,0.0007,233663
2019-11-30,"Springfield, MA","MA",82,1312.89,0.0056,0.0159,0.0209,197553
2019-11-30,"Fort Myers, FL","FL",83,1526.76,-0.0023,-0.0112,-0.0051,391119
2019-11-30,"Boise City, ID","ID",84,1387.21,0.0012,0.0272,0.079,266348
